Time,Confluence,TotalCells,TumorCells,NecroticCells,QuiescentCells,ProliferativeCells,HypoxicCells,EndothelialCells,TipCells,StalkCells,OutsideCells
649,0.0353481,187,59,1,0,0,58,128,0,0,0
650,0.0353481,187,59,1,0,0,58,128,0,0,0
651,0.0353481,187,59,1,0,0,58,128,0,0,0
652,0.0353481,187,59,1,0,0,58,128,0,0,0
653,0.0353481,187,59,1,0,0,58,128,0,0,0
654,0.0353481,187,59,1,0,0,58,128,0,0,0
655,0.0353481,187,59,1,0,0,58,128,0,0,0
656,0.0353481,187,59,1,0,0,58,128,0,0,0
657,0.0353481,187,59,1,0,0,58,125,1,2,0
658,0.0353481,187,59,1,0,0,58,125,1,2,0
659,0.0353481,187,59,1,0,0,58,125,1,2,0
660,0.0353481,187,59,1,0,0,58,125,1,2,0
661,0.0353481,187,59,1,0,0,58,125,1,2,0
662,0.0353481,187,59,1,0,0,58,125,1,2,0
663,0.0353481,187,59,1,0,0,58,125,1,2,0
664,0.0353481,187,59,1,0,0,58,125,1,2,0
665,0.0353481,187,59,1,0,0,58,125,1,2,0
666,0.0353481,187,59,1,0,0,58,125,1,2,0
667,0.0353481,187,59,1,0,0,58,125,1,2,0
668,0.0353481,187,59,1,0,0,58,125,1,2,0
669,0.0353481,187,59,1,0,0,58,125,1,2,0
670,0.0353481,187,59,1,0,0,58,125,1,2,0
671,0.0353481,187,59,1,0,0,58,125,1,2,0
672,0.0353481,187,59,1,0,0,58,125,1,2,0
673,0.0353481,187,59,1,0,0,58,125,1,2,0
674,0.0353481,187,59,1,0,0,58,125,1,2,0
675,0.0353481,187,59,1,0,0,58,125,1,2,0
676,0.0353481,187,59,1,0,0,58,125,1,2,0
677,0.0353481,187,59,1,0,0,58,125,1,2,0
678,0.0353481,187,59,1,0,0,58,122,2,4,0
679,0.0353481,187,59,1,0,0,58,122,2,4,0
680,0.0353481,187,59,1,0,0,58,122,2,4,0
681,0.0353481,187,59,1,0,0,58,122,2,4,0
682,0.0353481,187,59,1,0,0,58,122,2,4,0
683,0.0353481,187,59,1,0,0,58,122,2,4,0
684,0.0353481,187,59,1,0,0,58,122,2,4,0
685,0.0353481,187,59,1,0,0,58,122,2,4,0
686,0.0353481,189,59,1,0,0,58,122,2,6,0
687,0.0353584,189,59,1,0,0,58,123,2,5,0
688,0.0353686,189,59,1,0,0,58,123,2,5,0
689,0.0353788,189,59,1,0,0,58,124,2,4,0
690,0.035389,189,59,1,0,0,58,124,2,4,0
691,0.0353993,189,59,1,0,0,58,124,2,4,0
692,0.0354095,189,59,1,0,0,58,124,2,4,0
693,0.0354197,189,59,1,0,0,58,124,2,4,0
694,0.0354299,189,59,1,0,0,58,124,2,4,0
695,0.0355424,189,59,1,0,0,58,124,2,4,0
696,0.0355424,189,59,1,0,0,58,124,2,4,0
697,0.0355424,189,59,1,0,0,58,124,2,4,0
698,0.0355424,189,59,1,0,0,58,124,2,4,0
699,0.0355424,189,59,1,0,0,58,124,2,4,0
700,0.0355424,189,59,1,0,0,58,124,2,4,0
701,0.0355424,189,59,1,0,0,58,124,2,4,0
702,0.0355424,189,59,1,0,0,58,124,2,4,0
703,0.0355424,189,59,1,0,0,58,124,2,4,0
704,0.0355424,189,59,1,0,0,58,124,2,4,0
705,0.0355424,189,59,1,0,0,58,124,2,4,0
706,0.0355424,189,59,1,0,0,58,124,2,4,0
707,0.0355424,191,59,1,0,0,58,124,2,6,0
708,0.0355526,191,59,1,0,0,58,124,2,6,0
709,0.0355628,191,59,1,0,0,58,124,2,6,0
710,0.035573,191,59,1,0,0,58,125,2,5,0
711,0.0355833,191,59,1,0,0,58,126,2,4,0
712,0.0355935,191,59,1,0,0,58,126,2,4,0
713,0.0356037,191,59,1,0,0,58,126,2,4,0
714,0.0356139,191,59,1,0,0,58,126,2,4,0
715,0.0356241,191,59,1,0,0,58,126,2,4,0
716,0.0357366,191,59,1,0,0,58,126,2,4,0
717,0.0357366,191,59,1,0,0,58,126,2,4,0
718,0.0357366,191,59,1,0,0,58,126,2,4,0
719,0.0357366,191,59,1,0,0,58,126,2,4,0
720,0.0357366,191,59,1,0,0,58,126,2,4,0
721,0.0357366,191,59,1,0,0,58,126,2,4,0
722,0.0357366,191,59,1,0,0,58,126,2,4,0
723,0.0357366,191,59,1,0,0,58,126,2,4,0
724,0.0357366,193,59,1,0,0,58,126,2,6,0
725,0.0357468,193,59,1,0,0,58,126,2,6,0
726,0.035757,193,59,1,0,0,58,127,2,5,0
727,0.0357673,193,59,1,0,0,58,127,2,5,0
728,0.0357775,193,59,1,0,0,58,128,2,4,0
729,0.0357877,193,59,1,0,0,58,128,2,4,0
730,0.0357979,193,59,1,0,0,58,128,2,4,0
731,0.0358081,193,59,1,0,0,58,128,2,4,0
732,0.0358184,193,59,1,0,0,58,128,2,4,0
733,0.0359308,193,59,1,0,0,58,128,2,4,0
734,0.0359308,193,59,1,0,0,58,128,2,4,0
735,0.0359308,193,59,1,0,0,58,128,2,4,0
736,0.0359308,193,59,1,0,0,58,128,2,4,0
737,0.0359308,193,59,1,0,0,58,128,2,4,0
738,0.0359308,193,59,1,0,0,58,128,2,4,0
739,0.0359308,193,59,1,0,0,58,128,2,4,0
740,0.0359308,193,59,1,0,0,58,128,2,4,0
